ae_loss,e_real,e_rec,e_sample,g_rec,g_sample,epoch
139.804,83.163,104.801,88.035,116.606,85.53,122
145.343,88.135,117.267,89.750,118.714,90.39,123
138.113,97.711,137.221,106.275,117.484,104.52,124
155.888,82.029,96.526,75.269,97.750,76.67,125
133.739,79.175,99.226,80.336,109.288,82.38,126
151.234,78.036,101.263,78.995,101.931,81.02,127
147.059,80.396,84.441,83.015,88.761,83.39,128
129.623,99.846,133.592,109.810,126.511,106.69,129
136.339,83.905,115.308,86.498,102.156,88.22,130
147.611,78.756,103.316,88.730,114.445,87.76,131
139.862,95.000,143.088,113.950,125.660,101.19,132
148.594,91.033,127.965,107.084,127.517,109.93,133
156.273,73.788,88.513,80.545,87.926,82.96,134
148.880,85.682,101.006,99.049,110.707,105.38,135
144.079,86.188,121.497,87.089,112.004,87.27,136
146.728,76.107,125.221,83.348,133.968,87.31,137
148.548,77.606,110.236,83.518,120.711,89.01,138
143.054,83.624,111.019,90.920,100.011,91.19,139
143.246,91.007,109.073,111.351,106.996,103.73,140
138.875,89.517,122.993,119.655,104.227,107.79,141
168.276,84.225,109.021,86.600,130.393,89.35,142
147.096,82.641,108.247,98.788,116.163,104.24,143
151.243,85.274,143.663,106.799,136.096,107.89,144
144.629,82.245,104.846,94.770,112.933,102.72,145
166.312,86.006,130.807,88.399,124.992,87.79,146
145.996,95.017,143.939,108.403,142.938,114.26,147
144.797,83.717,145.622,85.194,153.552,89.01,148
150.413,86.317,109.067,103.100,121.625,107.72,149
144.402,82.943,129.983,98.800,126.892,100.12,150
147.248,84.810,137.249,114.937,132.429,110.95,151
159.164,75.832,110.117,78.515,106.630,76.86,152
154.096,79.978,92.806,80.420,88.467,81.74,153
156.703,83.910,99.615,88.030,102.539,92.41,154
147.231,78.278,104.535,79.841,102.879,80.66,155
157.859,92.388,112.026,108.336,111.201,109.03,156
158.991,87.442,138.893,103.950,106.413,98.44,157
147.409,84.841,107.783,99.975,114.368,103.43,158
157.340,89.242,165.047,96.086,160.723,91.99,159
144.777,95.980,142.016,105.703,146.984,109.44,160
149.101,79.439,121.890,88.041,116.606,90.83,161
161.397,82.469,106.070,82.955,110.213,83.77,162
150.706,87.031,109.171,107.771,115.053,117.83,163
152.519,85.885,97.741,93.729,99.410,99.33,164
149.626,81.470,116.093,106.500,108.290,106.99,165
149.496,75.559,103.796,84.600,117.369,86.36,166
161.247,85.178,96.145,102.456,95.852,108.75,167
148.468,77.773,104.541,94.973,116.379,105.42,168
153.534,78.028,120.117,92.120,117.249,92.48,169
154.561,93.124,134.803,117.238,129.907,114.90,170
148.748,77.208,106.492,94.212,125.254,99.80,171
161.962,81.683,94.245,89.647,100.314,93.29,172
151.677,84.805,114.821,102.595,114.024,101.56,173
148.056,81.558,113.078,90.593,100.935,91.86,174
157.232,76.192,146.239,87.005,158.186,88.60,175
151.543,81.110,133.649,100.482,117.682,102.78,176
154.967,85.481,109.180,119.104,109.495,110.14,177
156.299,85.782,105.614,123.308,113.113,123.56,178
156.645,79.721,112.838,104.353,121.511,117.81,179
157.794,89.293,122.121,110.422,110.574,107.60,180
158.572,90.561,147.137,98.282,127.693,99.95,181
150.749,86.100,148.663,106.727,162.911,111.91,182
147.978,86.538,135.458,103.263,140.597,110.38,183
156.001,90.658,100.770,121.794,102.930,121.59,184
168.173,90.957,120.039,110.201,105.107,104.72,185
146.349,85.935,142.264,119.871,122.209,102.87,186
172.994,82.202,121.832,112.950,108.744,110.05,187
144.911,77.815,123.287,101.620,123.957,103.83,188
147.442,77.966,125.070,108.445,134.437,116.36,189
158.725,73.484,108.229,102.689,137.987,119.08,190
157.734,81.780,110.570,110.826,105.375,106.61,191
164.937,80.332,123.200,105.147,120.610,108.86,192
153.654,82.876,110.773,119.110,109.357,107.22,193
152.494,79.069,94.180,106.300,101.300,115.06,194
152.602,78.191,107.659,98.269,111.720,100.35,195
161.552,81.671,114.313,93.125,102.923,94.51,196
143.995,78.245,107.707,97.882,126.236,100.65,197
160.465,88.121,110.053,141.862,102.377,136.62,198
166.800,81.301,109.598,104.243,121.642,120.17,199
150.269,74.782,151.484,95.700,175.324,102.78,200
167.001,72.800,90.881,97.270,93.277,104.73,201
163.867,80.696,114.578,116.214,100.856,107.76,202
153.129,79.134,108.843,112.419,118.912,113.75,203
167.254,78.808,117.194,101.944,123.718,105.10,204
154.003,77.817,101.371,107.073,124.520,124.23,205
152.347,91.905,201.669,120.182,143.565,110.60,206
160.751,77.446,119.939,112.991,111.053,104.44,207
166.685,81.596,119.687,106.870,110.548,110.58,208
167.793,82.618,130.620,112.038,101.931,104.68,209
162.648,76.814,99.169,103.926,100.892,106.48,210
